Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
45 ,75 ,433 ,171 ,68 ,360 ,313.589508 ,172.474228 ,243.031860 ,0.000000 ,126.332962 ,106.341469 ,4.570402 ,0.673776 ,-2.193232 ,-0.092657 ,6.097937 ,-2.193232 ,99.674805
46 ,76 ,435 ,174 ,70 ,368 ,329.268982 ,203.833176 ,266.551086 ,0.000000 ,112.295967 ,113.841469 ,4.059480 ,0.786072 ,-2.079390 ,-0.089001 ,6.364462 ,-2.079390 ,79.385742
47 ,76 ,435 ,174 ,70 ,376 ,344.948456 ,219.512650 ,282.230560 ,0.000000 ,112.295967 ,119.573174 ,4.059480 ,0.898368 ,-1.959817 ,-0.084576 ,6.646658 ,-1.959817 ,70.485352
48 ,78 ,431 ,175 ,69 ,384 ,360.627930 ,203.833176 ,282.230560 ,0.000000 ,140.369965 ,122.378052 ,-4.002862 ,1.038738 ,-1.837439 ,-0.079459 ,6.928843 ,-1.837439 ,60.005859
49 ,78 ,429 ,173 ,76 ,392 ,360.627930 ,235.192123 ,297.910034 ,0.000000 ,112.295967 ,124.329269 ,-4.002862 ,1.151034 ,-1.713110 ,-0.073475 ,7.226693 ,-1.713110 ,47.708008
50 ,78 ,429 ,173 ,76 ,400 ,282.230560 ,329.268982 ,305.749756 ,0.000000 ,-42.110989 ,125.426834 ,4.229577 ,1.108923 ,-1.587683 ,-0.067557 ,7.532385 ,-1.587683 ,35.170898
51 ,79 ,417 ,180 ,71 ,408 ,282.230560 ,376.307404 ,329.268982 ,0.000000 ,-84.221977 ,122.134148 ,4.229577 ,1.024701 ,-1.465549 ,-0.061669 ,7.861601 ,-1.465549 ,23.399414
52 ,79 ,417 ,180 ,71 ,416 ,407.666351 ,297.910034 ,352.788177 ,0.000000 ,98.258972 ,114.939026 ,-4.710090 ,1.122960 ,-1.350610 ,-0.054755 ,8.214322 ,-1.350610 ,12.010742
53 ,79 ,416 ,178 ,69 ,424 ,470.384247 ,250.871597 ,360.627930 ,0.000000 ,196.517944 ,109.512199 ,-4.761092 ,1.319478 ,-1.241098 ,-0.046451 ,8.574854 ,-1.241098 ,1.722656
54 ,79 ,413 ,180 ,69 ,432 ,391.986877 ,344.948456 ,368.467651 ,0.000000 ,42.110989 ,107.500000 ,-4.761092 ,1.361589 ,-1.133598 ,-0.037695 ,8.943217 ,-1.133598 ,8.278320
55 ,79 ,413 ,180 ,69 ,440 ,266.551086 ,486.063721 ,376.307404 ,0.000000 ,-196.517944 ,110.731712 ,-4.914490 ,1.165071 ,-1.022866 ,-0.030044 ,9.319448 ,-1.022866 ,13.494141
56 ,81 ,406 ,182 ,66 ,448 ,297.910034 ,486.063721 ,391.986877 ,0.000000 ,-168.443954 ,107.987808 ,-4.914490 ,0.996627 ,-0.914878 ,-0.023226 ,9.711375 ,-0.914878 ,8.708984
57 ,81 ,406 ,182 ,66 ,456 ,360.627930 ,439.025299 ,399.826599 ,0.000000 ,-70.184982 ,100.000000 ,-5.274700 ,0.926442 ,-0.814878 ,-0.016761 ,10.111149 ,-0.814878 ,-0.622070
58 ,82 ,402 ,183 ,64 ,464 ,407.666351 ,391.986877 ,399.826599 ,0.000000 ,14.036996 ,90.121956 ,-5.481971 ,0.940479 ,-0.724756 ,-0.010198 ,10.510922 ,-0.724756 ,-14.929688
59 ,82 ,402 ,183 ,64 ,472 ,407.666351 ,439.025299 ,423.345825 ,0.000000 ,-28.073992 ,77.743904 ,-5.481971 ,0.912405 ,-0.647012 ,-0.003457 ,10.934215 ,-0.647012 ,-22.729492
60 ,84 ,410 ,185 ,76 ,480 ,344.948456 ,470.384247 ,407.666351 ,0.000000 ,-112.295967 ,73.475609 ,-5.068474 ,0.800109 ,-0.573537 ,0.002235 ,11.341841 ,-0.573537 ,-30.912109
61 ,90 ,401 ,189 ,69 ,488 ,329.268982 ,470.384247 ,399.826599 ,0.000000 ,-126.332962 ,63.292683 ,-5.068474 ,0.673776 ,-0.510244 ,0.006937 ,11.741640 ,-0.510244 ,-54.694336
62 ,90 ,401 ,189 ,69 ,496 ,376.307404 ,439.025299 ,407.666351 ,0.000000 ,-56.147984 ,52.621952 ,-5.533953 ,0.617628 ,-0.457622 ,0.011332 ,12.149282 ,-0.457622 ,-69.624023
63 ,86 ,397 ,185 ,64 ,504 ,407.666351 ,439.025299 ,423.345825 ,0.000000 ,-28.073992 ,38.414635 ,-5.742536 ,0.589554 ,-0.419207 ,0.015688 ,12.572606 ,-0.419207 ,-73.021484
64 ,86 ,397 ,185 ,64 ,512 ,407.666351 ,439.025299 ,423.345825 ,0.000000 ,-28.073992 ,23.780489 ,-5.742536 ,0.561480 ,-0.395427 ,0.019836 ,12.995932 ,-0.395427 ,-81.969727
65 ,87 ,397 ,187 ,66 ,520 ,360.627930 ,470.384247 ,415.506104 ,0.000000 ,-98.258972 ,13.902439 ,-5.742536 ,0.463221 ,-0.381524 ,0.023195 ,13.411424 ,-0.381524 ,-96.085938
66 ,87 ,397 ,187 ,63 ,528 ,360.627930 ,486.063721 ,423.345825 ,0.000000 ,-112.295967 ,0.975610 ,-5.742536 ,0.350925 ,-0.380549 ,0.025788 ,13.834762 ,-0.380549 ,-107.761719
67 ,87 ,397 ,187 ,63 ,536 ,376.307404 ,486.063721 ,431.185577 ,0.000000 ,-98.258972 ,-11.036586 ,-5.742536 ,0.252666 ,-0.391585 ,0.027690 ,14.265944 ,-0.391585 ,-100.871094
68 ,87 ,397 ,184 ,64 ,544 ,423.345825 ,486.063721 ,454.704773 ,0.000000 ,-56.147984 ,-20.426830 ,-5.742536 ,0.196518 ,-0.412012 ,0.029249 ,14.720646 ,-0.412012 ,-98.239258
69 ,87 ,397 ,184 ,64 ,552 ,407.666351 ,486.063721 ,446.865051 ,0.000000 ,-70.184982 ,-32.439026 ,-5.742536 ,0.126333 ,-0.444451 ,0.030235 ,15.167509 ,-0.444451 ,-109.962891
70 ,88 ,408 ,184 ,76 ,560 ,423.345825 ,517.422668 ,470.384247 ,0.000000 ,-84.221977 ,-42.256100 ,-5.171456 ,0.042111 ,-0.486707 ,0.030580 ,15.637894 ,-0.486707 ,-118.097656
71 ,93 ,404 ,188 ,70 ,568 ,407.666351 ,533.102173 ,470.384247 ,0.000000 ,-112.295967 ,-52.073174 ,-5.171456 ,-0.070185 ,-0.538781 ,0.030004 ,16.108278 ,-0.538781 ,-123.887695
72 ,93 ,404 ,188 ,70 ,576 ,423.345825 ,533.102173 ,478.223999 ,0.000000 ,-98.258972 ,-56.585365 ,-5.378204 ,-0.168444 ,-0.595366 ,0.028598 ,16.586500 ,-0.595366 ,-117.666992
73 ,87 ,404 ,183 ,66 ,584 ,454.704773 ,548.781616 ,501.743195 ,0.000000 ,-84.221977 ,-61.585369 ,-5.378204 ,-0.252666 ,-0.656951 ,0.026386 ,17.088238 ,-0.656951 ,-103.837891
